plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmskw_a_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) + var_era + sm_mean_age,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-829.2535396420096,-828.7579644207708,-805.0662918345067,0.12154255688045335,0.03992461069412229,0.7329443618907205,0.340849519078494,-1.6104637709768697,0.07664292939947438,0.42899885913486985,0.417,0.9358974358974359,0.7649402390438247,0.7304051495645589,0.6718468468468468,FALSE
dmsk_tt_,,gr_roll,growing,sm_mean_ct + sm_skew_ct,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-809.4752571315692,-809.3005846424861,-795.6539726701388,0.03197396488559601,0.04218542335990031,0.7744488341413939,0.36015081961617096,-0.10353611847204292,0.04983179561691537,0.23507464718628504,0.594,0.9444444444444444,0.896414342629482,0.6452101476713367,0.8102638352638353,FALSE
dmskv_tt_,,gr_roll,growing,(sm_mean_ct + sm_skew_ct) * var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-828.5873894954191,-827.6008424102173,-794.0341783418421,0.12989102676479802,0.039472168477323884,0.7246383329497158,0.33698687121980747,-0.9551505873298465,0.06632898735275795,0.39646278661455003,-0.039,0.9401709401709402,0.9043824701195219,0.7437334343051875,0.6201737451737451,FALSE
dmsdw_tt_,,gr_roll,growing,(sm_mean_ct + sm_sd_ct) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-831.1598791179816,-830.7898350651182,-810.4279524258354,0.12502847074013956,0.039932601579083724,0.7330910602298446,0.34091773988888546,-1.0008469815275385,0.06709964134183916,0.37137372637499094,0.15,0.9401709401709402,0.8167330677290837,0.6930708065126846,0.5563384813384813,FALSE
dmw_tt_,,gr_roll,growing,sm_mean_ct + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-830.7564828757592,-830.4933249810224,-813.4798772989711,0.1198388932372968,0.04013820141250704,0.7368655050169913,0.3426730132184579,-1.0983083454407376,0.06871442466160121,0.33330039607529033,0.55,0.9401709401709402,0.8127490039840638,0.6690647482014389,0.7771235521235521,FALSE
dmskw_asy_tt_,,gr_roll,growing,(sm_mean_ct_FALSE + sm_skew_ct_FALSE) + var_era,model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-314.4821529413621,-313.5979424150463,-298.73231606165666,0.07162375316319713,0.04883337706319172,0.8981960526419793,0.41612494780261144,-1.6838880369915206,0.09287680609784457,0.3161665084190996,-0.541,0.9411764705882353,0.7547169811320755,0.6444797819173104,0.8375,FALSE
dmskw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-832.532160824535,-832.3574179439643,-818.7078120482632,0.12281357039800522,0.04015729289887263,0.7372159905207569,0.3428360035102371,-1.1492581145966088,0.06954366076698752,0.34310954707722796,0.554,0.9401709401709402,0.7928286852589641,0.7081408557364635,0.7961068211068211,FALSE
dmskw_a_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era + sm_mean_age",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-832.4311985008954,-832.1679845487707,-815.1526093617301,0.12611883132576474,0.03999472734559365,0.7342315780583202,0.34144812796954893,-1.65336024511961,0.07727008136035053,0.4123945787030595,0.186,0.9358974358974359,0.7569721115537849,0.758576296857251,0.6143178893178893,FALSE
dmsk_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs')",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-808.7426018783491,-808.6091979933924,-796.8395680794852,0.02809781769101416,0.04235187601456522,0.7775046068248918,0.36157188061853224,-0.048059962727818206,0.04856309150314211,0.20064190856199543,0.55,0.9401709401709402,0.896414342629482,0.6658084059068535,0.8158622908622909,FALSE
dmskv_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs', by=var_era) + s(sm_skew_ct, bs='cs', by=var_era)",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-827.1258762379514,-826.4183839136728,-798.0077888194328,0.12388006201859803,0.039862690954310505,0.7318076263435042,0.34032088991544446,-2.3445958431807528,0.08675311613578657,0.3339391663400971,0.099,0.9401709401709402,0.9362549800796812,0.7482771677394926,0.6555662805662805,FALSE
dmsdw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_sd_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-832.3464120259249,-832.1118473204855,-816.1111471139861,0.12567807929553132,0.0400536245087838,0.7353128245110986,0.34195095240288537,-1.1279543412443123,0.06919813874610999,0.3696653437312848,-0.149,0.9401709401709402,0.796812749003984,0.69632714880727,0.5049227799227799,FALSE
dmw_cr_tt_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-832.5327980804998,-832.358081409223,-818.7095901866979,0.12281411083988758,0.040157294881567406,0.7372160269194826,0.3428360204371538,-1.1492567397484983,0.06954363852396672,0.33330039607529033,0.55,0.9401709401709402,0.7928286852589641,0.6690647482014389,0.7771235521235521,FALSE
dmskw_asy_cr_tt_,,gr_roll,growing,"s(sm_mean_ct_FALSE, bs='cs') + s(sm_skew_ct_FALSE, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-335.8252110730372,-334.09386967786384,-313.6071048963672,0.2680784423014534,0.04293267034367398,0.7896639010275107,0.3658431237034826,-4.477511118057964,0.13268343576821132,0.46089125217553645,-0.222,0.9509803921568627,0.6037735849056604,0.9079963652885052,0.5519736842105264,FALSE
