plot_label,group_vars,gr_var,direct_var,model,model_data,test_data,in_AIC,in_AICc,in_BIC,in_R2,in_RMSE,in_nRMSEq,in_nRMSEd,out_R2,out_RMSE,in_spear,out_spear,in_cover,out_cover,in_AUC,out_AUC,gr_rej
dmskw_cr_0.1_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-2027.2509377586973,-2027.008906462176,-1990.569925337345,0.10175538757938363,0.04864978559038235,1.0155900098497472,0.4428631723546559,0.10175538757938363,0.04864978559038235,0.41587963207341583,NA,0.9466248037676609,NA,0.7407926143649025,0.7407926143649025,NA
dmskw_cr_0.5_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-3328.735431739559,-3328.382636687753,-3267.0440229323094,0.20247866623112287,0.04416937317862032,0.9291355588788921,0.40559128405627315,0.20247866623112287,0.04416937317862032,0.54751417118574,NA,0.9523326572008114,NA,0.79006607521459,0.79006607521459,NA
dmskw_cr_50_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily,NULL,-3482.1773270439585,-3481.8577004508707,-3420.9383418026805,0.17744121966075166,0.0453349596077217,0.9536545348182874,0.41629444016731854,0.17744121966075166,0.0453349596077217,0.5015899280819625,NA,0.9493791786055397,NA,0.7743795460360393,0.7743795460360393,NA
dmskw_cr_tt_0.1_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1117.252615589821,-1116.9474029027215,-1090.5822863624883,0.10067928776771384,0.050520436223893156,0.9602635988231121,0.4282838429854927,-0.4852990079263879,0.05713403784094386,0.4666185926453631,0.281,0.961218836565097,0.9057971014492754,0.7724830316742082,0.6520328255739112,FALSE
dmskw_cr_tt_0.5_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-1838.334004748515,-1837.761947471214,-1785.8290679929369,0.22039261881669936,0.0468230677837918,0.874205525391772,0.3909710594013293,-0.04857466003298305,0.0439443671243087,0.5710976736412617,0.433,0.9647266313932981,0.9427207637231504,0.821263115718829,0.7285245901639344,FALSE
dmskw_cr_tt_50_,,gr_roll,growing,"s(sm_mean_ct, bs='cs') + s(sm_skew_ct, bs='cs') + var_era",model_dat_daily %>% filter(coll_date < '2021-12-31'),model_dat_daily %>% filter(coll_date >= '2021-12-31'),-2020.3551052290352,-2019.4243488862944,-1947.6531985281804,0.22132184720320436,0.04719061041999012,0.8810676943736355,0.39404002819494083,-0.8142719253332618,0.05780357845724172,0.5381496322039161,0.337,0.9522292993630573,0.9164677804295943,0.7916780964572729,0.7298126463700234,FALSE
